Advanced Networking and Future Internet ,https://mcs.unibnf.ch/courses/advanced-networking-and-future-internet/,Course,Bern,11072,T1 – Distributed Systems,T1,Weekly,"Monday, 10:15 - 13:00",online,
Advanced Software Engineering ,https://mcs.unibnf.ch/courses/advanced-software-engineering/,Course,Fribourg,13000/23000,T1 – Distributed Systems & T2 – Advanced Software Engineering,T1 & T2,Weekly,"Thursday, 09:15 - 12:00","UniFR, PER21",G230
Applied Optimization ,https://mcs.unibnf.ch/courses/applied-optimization/,Course,Bern,31099/61099,T3 – Advanced Information Processing & T6 – Data Science,T3 & T6,Weekly,"Thursday, 09:15 - 12:00",online,
Automata on Infinite Structures ,https://mcs.unibnf.ch/courses/automata-on-infinite-structures/,Course,Fribourg,43024,T4 – Logic,T4,Weekly,"Wednesday, 09:15 - 12:00","UniFR, PER21",F130
Big Data Infrastructures ,https://mcs.unibnf.ch/courses/big-data-infrastructures/,Course,Fribourg,63021,T6 – Data Science,T6,Weekly,"Wednesday, 14:15 - 17:00","UniFR, PER21",G120
Computer Vision ,https://mcs.unibnf.ch/courses/computer-vision/,Course,Bern,31062/61062,T3 – Advanced Information Processing & T6 – Data Science,T3 & T6,Weekly,"Tuesday, 14:15 - 17:00",online,
Concurrency: Multi-core Programming and Data Processing ,https://mcs.unibnf.ch/courses/concurrency-multi-core-programming-and-data-processing/,Course,Neuchâtel,22027/62027,T2 – Advanced Software Engineering & T6 – Data Science,T2 & T6,Weekly,"Thursday, 14:15 - 18:00","UniNE, Unimail",B104
Cryptography ,https://mcs.unibnf.ch/courses/cryptography/,Course,Bern,11100/41100,T1 – Distributed Systems & T4 – Logic,T1 & T4,Weekly,"Wednesday, 14:15 - 17:00","UniBE, Hauptgebäude H4 / online",106
Distributed Systems ,https://mcs.unibnf.ch/courses/distributed-systems/,Course,Neuchâtel,12007,T1 – Distributed Systems,T1,Weekly,"Tuesday, 14:15 - 18:00","UniNE, Unimail",B104
Fuzzy Systems Engineering ,https://mcs.unibnf.ch/courses/fuzzy-systems-engineering/,Course,Fribourg,53105,T5 – Information Systems and Decision Support,T5,Weekly,"Friday, 09:15 - 12:00","UniFR, PER21 / online",B130
Graph Theory and Applications ,https://mcs.unibnf.ch/courses/graph-theory-and-applications/,Course,Fribourg,53085,T5 – Information Systems and Decision Support,T5,Weekly,"Thursday, 14:15 - 17:00","UniFR, PER21",D230
Information Retrieval and the Internet ,https://mcs.unibnf.ch/courses/information-retrieval-and-the-internet/,Course,Neuchâtel,32030,T3 – Advanced Information Processing,T3,Weekly,"Wednesday, 14:15 - 18:00",online,
Interdisciplinary Computing ,https://mcs.unibnf.ch/courses/interdisciplinary-computing/,Course,Fribourg,03008,T0 – General,T0,Weekly,"Tuesday, 14:15 - 17:00","UniFR, PER21",E230
Justification Logic ,https://mcs.unibnf.ch/courses/justification-logic/,Course,Bern,41055,T4 – Logic,T4,Weekly,"Tuesday, 09:15 - 12:00","UniBE, ExWi",B077
Machine Learning and Data Mining ,https://mcs.unibnf.ch/courses/machine-learning-and-data-mining/,Course,Neuchâtel,32032/62032,T3 – Advanced Information Processing & T6 – Data Science,T3 & T6,Weekly,"Monday, 08:15 - 12:00","UniNE, Unimail",B013
Quantitative Pricing and Revenue Optimization ,https://mcs.unibnf.ch/courses/quantitative-pricing-and-revenue-optimization/,Course,Fribourg,53038,T5 – Information Systems and Decision Support,T5,Weekly,"Tuesday, 13:15 - 16:00","UniFR, PER21 / online",D130
Scientific Reading in Computer Networks ,https://mcs.unibnf.ch/courses/scientific-reading-in-computer-networks/,Seminar,Bern,11795,T1 – Distributed Systems,T1,On Appointment,,,
Scientific Writing in Computer Networks ,https://mcs.unibnf.ch/courses/scientific-writing-in-computer-networks/,Seminar,Bern,11796,T1 – Distributed Systems,T1,On Appointment,,,
Security ,https://mcs.unibnf.ch/courses/security/,Course,Neuchâtel,12016,T1 – Distributed Systems,T1,Weekly,"Wednesday, 14:15 - 18:00","UniNE, Unimail",B104
Seminar Affective Computing for Empathic Behaviour Change ,https://mcs.unibnf.ch/courses/seminar-affective-computing-for-empathic-behaviour-change/,Seminar,Fribourg,33822/63822,T3 – Advanced Information Processing & T6 – Data Science,T3 & T6,On Appointment,"UniFR, PER21 / online",,
Seminar Chatbots and Conversational Agents ,https://mcs.unibnf.ch/courses/seminar-chatbots-and-conversational-agents/,Seminar,Fribourg,33798/63798,T3 – Advanced Information Processing & T6 – Data Science,T3 & T6,On Appointment,"UniFR, PER21 / online",,
Seminar Communication and Distributed Systems ,https://mcs.unibnf.ch/courses/seminar-communication-and-distributed-systems/,Seminar,Bern,11799,T1 – Distributed Systems,T1,Weekly,"Monday, 14:15 - 16:00","UniBE, Neubrückstrasse 10 / online",302
Seminar Computer Graphics and Geometry Processing ,https://mcs.unibnf.ch/courses/seminar-computer-graphics-and-geometry-processing/,Seminar,Bern,31800,T3 – Advanced Information Processing,T3,Weekly,"Thursday, 14:15 - 16:00","UniBE, Neubrückstrasse 10 / online",302
Seminar Cryptography and Data Security ,https://mcs.unibnf.ch/courses/seminar-cryptography-and-data-security/,Seminar,Bern,11832/41832,T1 – Distributed Systems & T4 – Logic,T1 & T4,Weekly,"Wednesday, 10:15 - 12:00","UniBE, Schützenmattstrasse 14 / online",
Seminar Data Science ,https://mcs.unibnf.ch/courses/seminar-data-science/,Seminar,Fribourg,63802,T6 – Data Science,T6,On Appointment,"UniFR, PER21 / online",,
Seminar Foundations of Dependable Systems I ,https://mcs.unibnf.ch/courses/seminar-foundations-of-dependable-systems-i/,Seminar,Fribourg,13803/43803,T1 – Distributed Systems & T4 – Logic,T1 & T4,On Appointment,"UniFR, PER21 / online",,
Seminar Hands-On Recommender Systems ,https://mcs.unibnf.ch/courses/seminar-hands-on-recommender-systems/,Seminar,Fribourg,53835/63835,T5 – Information Systems and Decision Support & T6 – Data Science,T5 & T6,On Appointment,"UniFR, PER21 / online",B205,
Seminar Human Smart Cities ,https://mcs.unibnf.ch/courses/seminar-human-smart-cities/,Seminar,Fribourg,53804/63804,T5 – Information Systems and Decision Support & T6 – Data Science,T5 & T6,On Appointment,"UniFR, PER21 / online",,
Seminar Human-Computer Interaction I ,https://mcs.unibnf.ch/courses/seminar-human-computer-interaction-i/,Seminar,Fribourg,33828/63828,T3 – Advanced Information Processing & T6 – Data Science,T3 & T6,On Appointment,"UniFR, PER21 / online",,
Seminar Interdisciplinary Issues in ICT ,https://mcs.unibnf.ch/courses/seminar-interdisciplinary-issues-in-ict/,Seminar,Fribourg,03805,T0 – General,T0,On Appointment,"UniFR, PER21",,
Seminar Logic and Theoretical Computer Science ,https://mcs.unibnf.ch/courses/seminar-logic-and-theoretical-computer-science/,Seminar,Bern,41806,T4 – Logic,T4,Weekly,"Thursday, 13:30-15:00","UniBE, ExWi",A097
Seminar Machine Learning and Artificial Intelligence ,https://mcs.unibnf.ch/courses/seminar-machine-learning-and-artificial-intelligence/,Seminar,Bern,31801/61801,T3 – Advanced Information Processing & T6 – Data Science,T3 & T6,Weekly,"Tuesday, 10:15 - 12:00",online,
Seminar Software Composition ,https://mcs.unibnf.ch/courses/seminar-software-composition/,Seminar,Bern,21809,T2 – Advanced Software Engineering,T2,Weekly,"Tuesday, 10:15 - 12:00","UniBE, Schützenmattstrasse 14 / online",107
Software Modeling and Analysis ,https://mcs.unibnf.ch/courses/software-modeling-and-analysis/,Course,Bern,21045,T2 – Advanced Software Engineering,T2,Weekly,"Wednesday, 10:15 - 13:00","UniBE, Engehaldenstrasse 8 / online",003
User Centered Design ,https://mcs.unibnf.ch/courses/user-centered-design/,Course,Fribourg,03018,T0 – General,T0,Weekly,"Monday, 14:15 - 17:00","UniFR, PER21 / online",B130
